code,description,unit-code
"68101","Sample Flow Rate- CV","107"
"68102","Sample Volume","065"
"68103","Ambient Min Temperature","017"
"68104","Ambient Max Temperature","017"
"68105","Ambient Avg Temperature","017"
"68106","Sample Min Baro Pressure","059"
"68107","Sample Max Baro Pressure","059"
"68108","Sample Avg Baro Pressure","059"
"68109","Elapsed Sample Time","106"
"68110","Relative Humidity","019"
"72101","Silver tarnishing","051"
"72201","Steel corrosion","056"
"72301","Dyed fabric #1","055"
"72302","Dyed fabric #2","055"
"72303","Dyed fabric #3","055"
"72304","Dyed fabric #4","055"
"72305","Dyed fabric #5","055"
"72306","Dyed fabric #6","055"
"72307","Dyed fabric #7","055"
"72308","Dyed fabric #8","055"
"72309","Dyed fabric #9","055"
"72401","Rubber cracking","052"
"72501","Nylon deterioration","053"
"81101","Size fractionated particulate","001"
"81102","PM10 Total 0-10um STP","001"
"81103","PM 10-2.5 STP","001"
"81104","PM2.5 STP","001"
"82101","Aluminum PM10 STP","001"
"82102","Antimony PM10 STP","001"
"82103","Arsenic PM10 STP","001"
"82105","Beryllium PM10 STP","001"
"82107","Barium PM10 STP","001"
"82109","Bromide PM10 STP","001"
"82110","Cadmium PM10 STP","001"
"82111","Calcium PM10 STP","001"
"82112","Chromium PM10 STP","001"
"82113","Cobalt PM10 STP","001"
"82114","Copper PM10 STP","001"
"82115","Chlorine PM10 STP","001"
"82116","Total Carbon PM10 STP","001"
"82119","Chromium VI PM10 STP","001"
"82124","Gallium PM10 STP","001"
"82126","Iron PM10 STP","001"
"82127","Palladium PM10 STP","001"
"82128","Lead PM10 STP","001"
"82131","Indium PM10 STP","001"
"82132","Manganese PM10 STP","001"
"82134","Molybdenum PM10 STP","001"
"82136","Nickel PM10 STP","001"
"82140","Magnesium PM10 STP","001"
"82142","Mercury PM10 STP","001"
"82146","Lanthanum PM10 STP","001"
"82151","Dibenz(A-H)Anthracene PM10 STP","001"
"82152","Phosphorus PM10 STP","001"
"82154","Selenium PM10 STP","001"
"82160","Tin PM10 STP","001"
"82161","Titanium PM10 STP","001"
"82164","Vanadium PM10 STP","001"
"82165","Silicon PM10 STP","001"
"82166","Silver PM10 STP","001"
"82167","Zinc PM10 STP","001"
"82168","Strontium PM10 STP","001"
"82169","Sulfur PM10 STP","001"
"82173","Thallium PM10 STP","001"
"82176","Rubidium PM10 STP","001"
"82179","Uranium PM10 STP","001"
"82180","Potassium PM10 STP","001"
"82183","Yttrium PM10 STP","001"
"82184","Sodium PM10 STP","001"
"82185","Zirconium PM10 STP","001"
"82190","Boron PM10 STP","001"
"82202","Fluoride PM10 STP","001"
"82203","Chloride PM10 STP","001"
"82220","Benzo(b)Fluranthene PM10 STP","001"
"82223","Benzo(k)Fluoranthene PM10 STP","001"
"82237","Benzo(g,h,i)Perylene PM10 STP","001"
"82242","Benzo(a)Pyrene PM10 STP","001"
"82243","Indeno[1,2,3-cd] pyrene PM10 STP","001"
"82301","Ammonium PM10 STP","001"
"82305","Organic carbon PM10 STP","001"
"82306","Nitrate PM10 STP","001"
"82307","Elemental Carbon PM10 STP","001"
"82403","Sulfate PM10 STP","001"
"82453","Sulfate PM2.5 STP","001"
"82551","Silica PM10 STP","001"
"83101","Aluminum PM10-2.5 STP","001"
"83102","Antimony PM10-2.5 STP","001"
"83103","Arsenic PM10-2.5 STP","001"
"83107","Barium PM10-2.5 STP","001"
"83109","Bromine (PM10-2.5 STP","001"
"83110","Cadmium PM10-2.5 STP","001"
"83111","Calcium PM10-2.5 STP)","001"
"83112","Chromium PM10-2.5 STP","001"
"83113","Cobalt PM10-2.5 STP","001"
"83114","Copper PM10-2.5 STP","001"
"83115","Chlorine PM10-2.5 STP","001"
"83126","Iron PM10-2.5 STP","001"
"83128","Lead PM10-2.5 STP","001"
"83132","Manganese PM10-2.5 STP","001"
"83134","Molybdenum PM10-2.5 STP","001"
"83136","Nickel PM10-2.5 STP","001"
"83142","Mercury PM10-2.5 STP","001"
"83152","Phosphorus PM10-2.5 STP","001"
"83154","Selenium PM10-2.5 STP","001"
"83160","Tin PM10-2.5 STP","001"
"83161","Titanium PM10-2.5 STP","001"
"83164","Vanadium PM10-2.5 STP","001"
"83165","Silicon PM10-2.5 STP","001"
"83167","Zinc PM10-2.5 STP","001"
"83168","Strontium PM10-2.5 STP","001"
"83169","Sulfur PM10-2.5 STP","001"
"83176","Rubidium PM10-2.5 STP","001"
"83179","Uranium PM10-2.5 STP","001"
"83180","Potassium PM10-2.5 STP","001"
"83183","Yttrium PM10-2.5 STP","001"
"83185","Zirconium PM10-2.5 STP","001"
"84101","Aluminum PM2.5 STP","001"
"84102","Antimony PM2.5 STP","001"
"84103","Arsenic PM2.5 STP","001"
"84107","Barium PM2.5 STP","001"
"84109","Bromine PM2.5 STP","001"
"84110","Cadmium PM2.5 STP","001"
"84111","Calcium PM2.5 STP","001"
"84112","Chromium PM2.5 STP","001"
"84113","Cobalt PM2.5 STP","001"
"84114","Copper PM2.5 STP","001"
"84115","Chlorine PM2.5 STP","001"
"84126","Iron PM2.5 STP","001"
"84128","Lead PM2.5 STP","001"
"84132","Manganese PM2.5 STP","001"
"84134","Molybdenum PM2.5 STP","001"
"84136","Nickel PM2.5 STP","001"
"84140","Magnesium PM2.5 STP","001"
"84142","Mercury PM2.5 STP","001"
"84152","Phosphorus PM2.5 STP","001"
"84154","Selenium PM2.5 STP","001"
"84160","Tin PM2.5 STP","001"
"84161","Titanium PM2.5 STP","001"
"84164","Vanadium PM2.5 STP","001"
"84165","Silicon PM2.5 STP","001"
"84167","Zinc PM2.5 STP","001"
"84168","Strontium PM2.5 STP","001"
"84169","Sulfur PM2.5 STP","001"
"84176","Rubidium PM2.5 STP","001"
"84179","Uranium PM2.5 STP","001"
"84180","Potassium PM2.5 STP","001"
"84183","Yttrium PM2.5 STP","001"
"84184","Sodium PM2.5 STP","001"
"84185","Zirconium PM2.5 STP","001"
"84203","Chloride PM2.5 STP","001"
"84306","Nitrate PM2.5 STP","001"
"84313","Black carbon PM2.5 STP","001"
"84314","UV Carbon PM2.5 STP","001"
"84403","Sulfate PM2.5 STP","001"
"85101","PM10 - LC","105"
"85102","Antimony PM10 LC","105"
"85103","Arsenic PM10 LC","105"
"85104","Aluminum PM10 LC","105"
"85105","Beryllium PM10 LC","105"
"85107","Barium PM10 LC","105"
"85109","Bromine PM10 LC","105"
"85110","Cadmium PM10 LC","105"
"85111","Calcium PM10 LC","105"
"85112","Chromium PM10 LC","105"
"85113","Cobalt PM10 LC","105"
"85114","Copper PM10 LC","105"
"85115","Chlorine PM10 LC","105"
"85119","Chromium VI PM10 LC","105"
"85126","Iron PM10 LC","105"
"85128","Lead PM10 LC","105"
"85132","Manganese PM10 LC","105"
"85134","Molybdenum PM10 LC","105"
"85136","Nickel PM10 LC","105"
"85140","Magnesium PM10 LC","105"
"85142","Mercury PM10 LC","105"
"85152","Phosphorus PM10 LC","105"
"85154","Selenium PM10 LC","105"
"85160","Tin PM10 LC","105"
"85161","Titanium PM10 LC","105"
"85164","Vanadium PM10 LC","105"
"85165","Silicon PM10 LC","105"
"85166","Silver PM10 LC","105"
"85167","Zinc PM10 LC","105"
"85168","Strontium PM10 LC","105"
"85169","Sulfur PM10 LC","105"
"85173","Thallium PM10 LC","105"
"85176","Rubidium PM10 LC","105"
"85179","Uranium PM10 LC","105"
"85180","Potassium PM10 LC","105"
"85183","Yttrium PM10 LC","105"
"85184","Sodium PM10 LC","105"
"85185","Zirconium PM10 LC","105"
"85551","Silica PM10 LC","105"
"86101","PM10-2.5 - Local Conditions","105"
"86502","Acceptable PM10-2.5 - Local Conditions","105"
"88101","PM2.5 - Local Conditions","105"
"88102","Antimony PM2.5 LC","105"
"88103","Arsenic PM2.5 LC","105"
"88104","Aluminum PM2.5 LC","105"
"88105","Beryllium PM2.5 LC","105"
"88107","Barium PM2.5 LC","105"
"88109","Bromine PM2.5 LC","105"
"88110","Cadmium PM2.5 LC","105"
"88111","Calcium PM2.5 LC","105"
"88112","Chromium PM2.5 LC","105"
"88113","Cobalt PM2.5 LC","105"
"88114","Copper PM2.5 LC","105"
"88115","Chlorine PM2.5 LC","105"
"88117","Cerium PM2.5 LC","105"
"88118","Cesium PM2.5 LC","105"
"88119","Chromium VI PM2.5 LC","105"
"88121","Europium PM2.5 LC","105"
"88124","Gallium PM2.5 LC","105"
"88126","Iron PM2.5 LC","105"
"88127","Hafnium PM2.5 LC","105"
"88128","Lead PM2.5 LC","105"
"88131","Indium PM2.5 LC","105"
"88132","Manganese PM2.5 LC","105"
"88133","Iridium PM2.5 LC","105"
"88134","Molybdenum PM2.5 LC","105"
"88136","Nickel PM2.5 LC","105"
"88140","Magnesium PM2.5 LC","105"
"88142","Mercury PM2.5 LC","105"
"88143","Gold PM2.5 LC","105"
"88146","Lanthanum PM2.5 LC","105"
"88147","Niobium PM2.5 LC","105"
"88152","Phosphorus PM2.5 LC","105"
"88154","Selenium PM2.5 LC","105"
"88160","Tin PM2.5 LC","105"
"88161","Titanium PM2.5 LC","105"
"88162","Samarium PM2.5 LC","105"
"88163","Scandium PM2.5 LC","105"
"88164","Vanadium PM2.5 LC","105"
"88165","Silicon PM2.5 LC","105"
"88166","Silver PM2.5 LC","105"
"88167","Zinc PM2.5 LC","105"
"88168","Strontium PM2.5 LC","105"
"88169","Sulfur PM2.5 LC","105"
"88170","Tantalum PM2.5 LC","105"
"88172","Terbium PM2.5 LC","105"
"88173","Thallium PM2.5 LC","105"
"88176","Rubidium PM2.5 LC","105"
"88179","Uranium PM2.5 LC","105"
"88180","Potassium PM2.5 LC","105"
"88183","Yttrium PM2.5 LC","105"
"88184","Sodium PM2.5 LC","105"
"88185","Zirconium PM2.5 LC","105"
"88186","Tungsten PM2.5 LC","105"
"88203","Chloride PM2.5 LC","105"
"88301","Ammonium Ion PM2.5 LC","105"
"88302","Sodium Ion Pm2.5 LC","105"
"88303","Potassium Ion PM2.5 LC","105"
"88304","OCX Carbon PM2.5 LC","105"
"88305","OC CSN Unadjusted PM2.5 LC TOT","105"
"88306","Total Nitrate PM2.5 LC","105"
"88307","EC CSN PM2.5 LC TOT","105"
"88308","Carbonate Carbon CSN PM2.5 LC TOT","105"
"88309","Volatile Nitrate PM2.5 LC","105"
"88310","Non-volatile Nitrate PM2.5 LC","105"
"88311","OCX2 Carbon PM2.5 LC","105"
"88312","Total Carbon PM2.5 LC","105"
"88313","Black Carbon PM2.5 LC","105"
"88314","UV Carbon PM2.5 LC","105"
"88320","OC PM2.5 LC TOR","105"
"88321","EC PM2.5 LC TOR","105"
"88322","OCH PM2.5 LC TOT","105"
"88323","EH IMPROVE PM2.5 LC","105"
"88324","OC1 PM2.5 LC","105"
"88325","OC2 PM2.5 LC","105"
"88326","OC3 PM2.5 LC","105"
"88370","OC CSN_Rev Unadjusted PM2.5 LC TOR","105"
"88374","OC1 CSN_Rev Unadjusted PM2.5 LC","105"
"88375","OC2 CSN_Rev Unadjusted PM2.5 LC","105"
"88376","OC3 CSN_Rev Unadjusted PM2.5 LC","105"
"88377","OC4 CSN_Rev Unadjusted PM2.5 LC","105"
"88378","OP CSN_Rev Unadjusted PM2.5 LC TOR","105"
"88379","OP PM2.5 LC TOT","105"
"88380","EC CSN_Rev Unadjusted PM2.5 LC TOR","105"
"88381","EC PM2.5 LC TOT","105"
"88382","OC PM2.5 LC TOT","105"
"88383","EC1 CSN_Rev Unadjusted PM2.5 LC","105"
"88384","EC2 CSN_Rev Unadjusted PM2.5 LC","105"
"88385","EC3 CSN_Rev Unadjusted PM2.5 LC","105"
"88388","OP CSN_Rev Unadjusted PM2.5 LC TOT","105"
"88390","Levoglucosan PM2.5 LC","105"
"88391","Mannosan PM2.5 LC","105"
"88392","Galactosan PM2.5 LC","105"
"88401","Reconstructed Mass PM2.5 LC","105"
"88403","Sulfate PM2.5 LC","105"
"88500","PM2.5 Total Atmospheric","105"
"88501","PM2.5 Raw Data","105"
"88502","Acceptable PM2.5 AQI & Speciation Mass","105"
"88503","PM2.5 Volatile Channel","105"
"92142","Mercury compounds","003"
